"Rank","City","County","Credit Score"
"1","Hyde Park","Cache County","752"
"2","Huntsville","Weber County","748"
"3","Providence","Cache County","746"
"4","Centerville","Davis County","744"
"5","Alpine","Utah County","743"
"6","Mapleton","Utah County","743"
"7","Kaysville","Davis County","742"
"8","Morgan","Morgan County","742"
"9","Mendon","Cache County","742"
"10","Farmington","Davis County","741"
"11","New Harmony","Washington County","741"
"12","Eden","Weber County","740"
"13","Midway","Wasatch County","739"
"14","Wellsville","Cache County","737"
"15","Park City","Summit County","737"
"16","Lindon","Utah County","736"
"17","South Jordan","Salt Lake County","734"
"18","Millville","Cache County","734"
"19","Ivins","Washington County","733"
"20","Oakley","Summit County","732"
"21","Salem","Utah County","730"
"22","Draper","Salt Lake County","726"
"23","Smithfield","Cache County","726"
"24","Coalville","Summit County","726"
"25","Paradise","Cache County","726"
"26","Bountiful","Davis County","725"
"27","Lehi","Utah County","724"
"28","American Fork","Utah County","724"
"29","Riverton","Salt Lake County","724"
"30","Syracuse","Davis County","724"
"31","Santa Clara","Washington County","724"
"32","Hooper","Weber County","723"
"33","Leeds","Washington County","723"
"34","Woods Cross","Davis County","722"
"35","Escalante","Garfield County","719"
"36","Sandy","Salt Lake County","719"
"37","Richmond","Cache County","717"
"38","Willard","Box Elder County","716"
"39","Toquerville","Washington County","716"
"40","Honeyville","Box Elder County","716"
"41","Saratoga Springs","Utah County","715"
"42","Enterprise","Washington County","713"
"43","Aurora","Sevier County","713"
"44","Henefer","Summit County","713"
"45","Pleasant Grove","Utah County","711"
"46","Washington","Washington County","711"
"47","Mona","Juab County","711"
"48","Herriman","Salt Lake County","710"
"49","Monroe","Sevier County","710"
"50","Ferron","Emery County","710"
"51","Kamas","Summit County","708"
"52","Lewiston","Cache County","707"
"53","Saint George","Washington County","705"
"54","Spanish Fork","Utah County","704"
"55","North Salt Lake","Davis County","704"
"56","Kanab","Kane County","703"
"57","Fairview","Sanpete County","703"
"58","Spring City","Sanpete County","703"
"59","Hyrum","Cache County","701"
"60","Layton","Davis County","701"
"61","Monticello","San Juan County","700"
"62","Orangeville","Emery County","700"
"63","Heber City","Wasatch County","699"
"64","Parowan","Iron County","699"
"65","Minersville","Beaver County","699"
"66","Provo","Utah County","699"
"67","Logan","Cache County","698"
"68","Payson","Utah County","698"
"69","Delta","Millard County","698"
"70","Corinne","Box Elder County","698"
"71","Loa","Wayne County","698"
"72","Brigham City","Box Elder County","696"
"73","Manti","Sanpete County","696"
"74","Fillmore","Millard County","696"
"75","Orem","Utah County","696"
"76","Springville","Utah County","695"
"77","Hurricane","Washington County","695"
"78","Ephraim","Sanpete County","695"
"79","Tremonton","Box Elder County","694"
"80","Santaquin","Utah County","694"
"81","Stockton","Tooele County","694"
"82","Neola","Duchesne County","693"
"83","Nephi","Juab County","692"
"84","Panguitch","Garfield County","692"
"85","Garland","Box Elder County","691"
"86","Eagle Mountain","Utah County","690"
"87","Mount Pleasant","Sanpete County","690"
"88","Moab","Grand County","689"
"89","Fountain Green","Sanpete County","689"
"90","Richfield","Sevier County","688"
"91","Castle Dale","Emery County","688"
"92","Cedar City","Iron County","688"
"93","Beaver","Beaver County","687"
"94","Ogden","Weber County","687"
"95","Salt Lake City","Salt Lake County","686"
"96","West Jordan","Salt Lake County","683"
"97","Clearfield","Davis County","682"
"98","Grantsville","Tooele County","680"
"99","Huntington","Emery County","680"
"100","Roy","Weber County","679"
