"Rank","City ","County","Average VantageScore 3.0 Credit Score"
"1","Glen Dale","Marshall","729"
"2","Bridgeport","Harrison","727"
"3","Washington","Wood","725"
"4","Scott Depot","Putnam","721"
"5","Upper Tract","Pendleton","716"
"6","Shepherdstown","Jefferson","710"
"7","Winfield","Putnam","709"
"8","Franklin","Pendleton","708"
"9","Mount Clare","Harrison","708"
"10","Valley Grove","Ohio","707"
"11","Williamstown","Wood","706"
"12","Maysville","Grant","704"
"13","Daniels","Raleigh","702"
"14","Colliers","Brooke","700"
"15","Davis","Tucker","700"
"16","Liberty","Putnam","699"
"17","Bethany","Brooke","699"
"18","Bruceton Mills","Preston","698"
"19","Independence","Preston","698"
"20","New Creek","Mineral","697"
"21","Shenandoah Junction","Jefferson","696"
"22","Lewisburg","Greenbrier","695"
"23","Le Roy","Jackson","695"
"24","Capon Bridge","Hampshire","694"
"25","Moatsville","Barbour","692"
"26","Burlington","Mineral","691"
"27","Sandyville","Jackson","691"
"28","Hurricane","Putnam","690"
"29","Ridgeley","Mineral","690"
"30","Mineral Wells","Wood","690"
"31","Fort Ashby","Mineral","690"
"32","Mathias","Hardy","690"
"33","Triadelphia","Ohio","689"
"34","Mount Storm","Grant","689"
"35","Albright","Preston","688"
"36","Morgantown","Monongalia","687.3789063"
"37","Vienna","Wood","687"
"38","Letart","Mason","687"
"39","Evans","Jackson","687"
"40","Aurora","Preston","687"
"41","Harrisville","Ritchie","686"
"42","Salem","Doddridge","685"
"43","Fraziers Bottom","Putnam","685"
"44","Renick","Greenbrier","685"
"45","Cairo","Ritchie","685"
"46","Cameron","Marshall","684"
"47","Belleville","Wood","684"
"48","West Liberty","Ohio","684"
"49","Wheeling","Ohio","683"
"50","Kenna","Jackson","683"
"51","Friendly","Tyler","683"
"52","Fairmont","Marion","682"
"53","Hillsboro","Pocahontas","682"
"54","Lindside","Monroe","681"
"55","Summit Point","Jefferson","681"
"56","Brandywine","Pendleton","681"
"57","Buckhannon","Upshur","680"
"58","South Charleston","Kanawha","680"
"59","Charles Town","Jefferson","680"
"60","Harpers Ferry","Jefferson","680"
"61","New Martinsville","Wetzel","680"
"62","Wellsburg","Brooke","680"
"63","Parsons","Tucker","680"
"64","Red House","Putnam","680"
"65","Frankford","Greenbrier","680"
"66","Ripley","Jackson","679"
"67","Romney","Hampshire","679"
"68","Terra Alta","Preston","679"
"69","Waverly","Wood","679"
"70","Proctor","Marshall","679"
"71","Athens","Mercer","679"
"72","Jumping Branch","Summers","679"
"73","Canvas","Nicholas","679"
"74","Pine Grove","Wetzel","679"
"75","Berkeley Springs","Morgan","678"
"76","Ona","Cabell","678"
"77","Shady Spring","Raleigh","678"
"78","Lost Creek","Harrison","678"
"79","Reedsville","Preston","678"
"80","Lavalette","Wayne","678"
"81","Union","Monroe","678"
"82","Foster","Boone","678"
"83","Baker","Hardy","678"
"84","New Cumberland","Hancock","677"
"85","Fairview","Monongalia","677"
"86","Jane Lew","Lewis","677"
"87","Marlinton","Pocahontas","677"
"88","Walker","Wood","677"
"89","Springfield","Hampshire","677"
"90","Thornton","Taylor","677"
"91","Jacksonburg","Wetzel","677"
"92","Moundsville","Marshall","676"
"93","Elkview","Kanawha","676"
"94","Grafton","Taylor","676"
"95","Falling Waters","Berkeley","676"
"96","Fayetteville","Fayette","676"
"97","Petersburg","Grant","676"
"98","Kingwood","Preston","676"
"99","Peterstown","Monroe","676"
"100","Davisville","Wood","676"
"101","Great Cacapon","Morgan","676"
"102","Montrose","Randolph","676"
"103","Littleton","Wetzel","676"
"104","Weirton","Hancock","675"
"105","Barboursville","Cabell","675"
"106","Keyser","Mineral","675"
"107","Milton","Cabell","675"
"108","Beaver","Raleigh","675"
"109","Saint Marys","Pleasants","675"
"110","Culloden","Cabell","675"
"111","Chester","Hancock","675"
"112","Rivesville","Marion","675"
"113","Paden City","Wetzel","675"
"114","Buffalo","Putnam","675"
"115","Sinks Grove","Monroe","675"
"116","Volga","Barbour","675"
"117","Lerona","Mercer","675"
"118","Hedgesville","Berkeley","674"
"119","Philippi","Barbour","674"
"120","Tunnelton","Preston","674"
"121","Sistersville","Tyler","674"
"122","Cool Ridge","Raleigh","674"
"123","Farmington","Marion","674"
"124","Flemington","Taylor","674"
"125","Eleanor","Putnam","674"
"126","Follansbee","Brooke","673"
"127","Shinnston","Harrison","673"
"128","West Union","Doddridge","673"
"129","Alum Creek","Kanawha","673"
"130","Wardensville","Hardy","673"
"131","Mount Nebo","Nicholas","673"
"132","Mount Lookout","Nicholas","673"
"133","Ravenswood","Jackson","672"
"134","Ronceverte","Greenbrier","672"
"135","Lumberport","Harrison","672"
"136","Crab Orchard","Raleigh","672"
"137","Middlebourne","Tyler","672"
"138","Hico","Fayette","672"
"139","Charleston","Kanawha","671.6212576"
"140","Summersville","Nicholas","671"
"141","Kenova","Wayne","671"
"142","Masontown","Preston","671"
"143","Meadow Bridge","Fayette","671"
"144","Ballard","Monroe","671"
"145","Cottageville","Jackson","671"
"146","Crawley","Greenbrier","671"
"147","Harman","Randolph","671"
"148","Saint Albans","Kanawha","670"
"149","Elkins","Randolph","670"
"150","Point Pleasant","Mason","670"
